CountryName,countrycode,weights,GHG_unit,GHG
Kyrgyz Republic,KGZ,9.0519706011638E-05,33620070,0.03362007
Lao PDR,LAO,0.000140098027026,21228552,0.021228552
Latvia,LVA,0.000340075974267,26299650,0.02629965
Lebanon,LBN,0.000535851649016,9342569,0.009342569
Lesotho,LSO,2.9760730083438E-05,3012390.8,0.0030123908
Liberia,LBR,4.05909794570072E-05,6775994.5,0.0067759945
Libya,LBY,0.001107738515125,81482856,0.081482856
Liechtenstein,LIE,2.33846635317637E-06,36398.035,3.6398035E-05
Lithuania,LTU,0.000530579589268,52638084,0.052638084
Luxembourg,LUX,0.000805165578656,9974320,0.00997432
"Macao SAR, China",MAC,0.000443269472061,1042234.9,0.0010422349
Madagascar,MDG,0.000159263502958,63942580,0.06394258
Malawi,MWI,0.000108488395945,15946111,0.015946111
Malaysia,MYS,0.003373183789182,320716700,0.3207167
Maldives,MDV,4.54414433375849E-05,150428.36,0.00015042836
Mali,MLI,0.000155580024843,19504632,0.019504632
Malta,MLT,0.000136821765613,2132382.8,0.0021323828
Mauritania,MRT,7.98389460840038E-05,10828571,0.010828571
Mauritius,MUS,0.000143079041024,1639906,0.001639906
Mexico,MEX,0.017575579162488,597508030,0.59750803
"Micronesia, Fed. Sts.",FSM,5.63367013626547E-06,-142190.25,-0.00014219025
Moldova,MDA,0.000109805402683,47498172,0.047498172
Mongolia,MNG,0.000116029708343,50618076,0.050618076
Montenegro,MNE,4.23456107587682E-05,3430686,0.003430686
Morocco,MAR,0.001323985234522,63526930,0.06352693
Mozambique,MOZ,0.000150826596626,37338476,0.037338476
Myanmar,MMR,0.00049010909673,147825550,0.14782555
Namibia,NAM,0.000128042671243,7230333,0.007230333
Nauru,NRU,1.83673164069222E-06,160580.31,0.00016058031
Nepal,NPL,0.000296565812711,45279450,0.04527945
Netherlands,NLD,0.01204570014549,205043780,0.20504378
New Zealand,NZL,0.002485627839712,81611490,0.08161149
Nicaragua,NIC,0.000156087731707,37588252,0.037588252
Niger,NER,0.000116553771405,13193183,0.013193183
Nigeria,NGA,0.005087523942331,414677100,0.4146771
North Macedonia,MKD,0.000132762159156,17245716,0.017245716
Norway,NOR,0.00578988754538,58533304,0.058533304
Oman,OMN,0.000957280842642,26390092,0.026390092
Pakistan,PAK,0.003756678333677,184178700,0.1841787
Palau,PLW,4.47031331813893E-06,161415.03,0.00016141503
Panama,PAN,0.000555867687268,19348798,0.019348798
Papua New Guinea,PNG,0.000256253833562,35323910,0.03532391
Paraguay,PRY,0.000464696291813,72024616,0.072024616
Peru,PER,0.002136382959039,93359930,0.09335993
Philippines,PHL,0.003526247840413,240153300,0.2401533
Poland,POL,0.005777035371384,591047040,0.59104704
Portugal,PRT,0.003443577800009,48782280,0.04878228
Qatar,QAT,0.001242022727289,22483884,0.022483884
Romania,ROU,0.00235216900805,278003740,0.27800374
Russian Federation,RUS,0.019138374297844,3187918300,3.1879183
Rwanda,RWA,8.78421945789709E-05,10068670,0.01006867
Samoa,WSM,1.15564042571356E-05,286064.97,0.00028606497
Sao Tome and Principe,STP,3.34958310017476E-06,378059.78,0.00037805978
Saudi Arabia,SAU,0.008091877375667,263125700,0.2631257
Senegal,SEN,0.000232350792671,13487422,0.013487422
Serbia,SRB,0.000483720066586,73741460,0.07374146
Seychelles,SYC,1.8863203287557E-05,255343.1,0.0002553431
Sierra Leone,SLE,8.53380077281065E-05,9915198,0.009915198
Singapore,SGP,0.00329503162158,39519076,0.039519076
Slovak Republic,SVK,0.001067712338298,70342150,0.07034215
Slovenia,SVN,0.000610051932389,21739706,0.021739706
Solomon Islands,SLB,1.75430534899542E-05,1335150.1,0.0013351501
Somalia,SOM,6.20155003157463E-05,34059176,0.034059176
South Africa,ZAF,0.004738715223175,459085300,0.4590853
South Sudan,SSD,5.67666836359679E-05,43902656,0.043902656
Spain,ESP,0.018827435335886,254354450,0.25435445
Sri Lanka,LKA,0.000894178860077,25889448,0.025889448
St. Kitts and Nevis,KNA,1.24333770605085E-05,44992.547,4.4992547E-05
St. Lucia,LCA,2.81039460404076E-05,293039.75,0.00029303975
St. Vincent and the Grenadines,VCT,1.16778850970889E-05,136675.53,0.00013667553
Sudan,SDN,0.000727940841487,68324230,0.06832423
Suriname,SUR,6.72754795867052E-05,4933971,0.004933971
Sweden,SWE,0.007332087120149,68378500,0.0683785
Switzerland,CHE,0.010595187453684,50608860,0.05060886
